,Unnamed: 0,PropertyID,SaleDollarCnt,TransDate,censusblockgroup,ZoneCodeCounty,Usecode,BedroomCnt,BathroomCnt,FinishedSquareFeet,GarageSquareFeet,LotSizeSquareFeet,StoryCnt,BuiltYear,ViewType,Latitude,Longitude,BGMedHomeValue,BGMedRent,BGMedYearBuilt,BGPctOwn,BGPctVacant,BGMedIncome,BGPctKids,BGMedAge,TransYear,TransMonth,TransDay,BlockGroup,Block
43,43,48651419,785000.0,9/29/2015,530000000000.0,SF 5000,9,5.0,3.0,3200.0,0.0,6550,2,2015.0,0,47548961,-122380792,448700.0,681.0,1947.0,0.8085,0.0591,135729,0.3582,38.5,2015,9,29,530330106001,530330106001004.0
44,44,48651435,390000.0,4/30/2015,530000000000.0,SF 5000,9,3.0,2.0,1640.0,200.0,5000,1,1917.0,0,47548251,-122380812,448700.0,681.0,1947.0,0.8085,0.0591,135729,0.3582,38.5,2015,4,30,530330106001,530330106001011.0
45,45,48651451,375000.0,7/23/2015,530000000000.0,SF 5000,9,1.0,1.0,670.0,0.0,6700,1,1918.0,0,47547161,-122381443,448700.0,681.0,1947.0,0.8085,0.0591,135729,0.3582,38.5,2015,7,23,530330106001,530330106001011.0
46,46,48651452,838000.0,8/1/2015,530000000000.0,SF 5000,9,3.0,3.0,2136.0,0.0,6700,2,2000.0,82,47547298,-122381438,448700.0,681.0,1947.0,0.8085,0.0591,135729,0.3582,38.5,2015,8,1,530330106001,530330106001011.0
47,47,48651476,460000.0,7/1/2015,530000000000.0,SF 5000,9,3.0,1.75,1370.0,0.0,6550,1,1914.0,0,47547281,-122380064,448700.0,681.0,1947.0,0.8085,0.0591,135729,0.3582,38.5,2015,7,1,530330106001,530330106001010.0
48,48,48651512,265000.0,5/19/2015,530000000000.0,SR6,9,3.0,1.75,1270.0,110.0,7313,1,1988.0,0,47375211,-122181869,261500.0,,1987.0,0.8972,0.1743,90781,0.5417,30.8,2015,5,19,530330295023,530330295023006.0
49,49,48651523,418100.0,6/27/2015,530000000000.0,SFD,9,2.0,1.75,1210.0,260.0,6930,1,1950.0,0,47534811,-122034389,228100.0,625.0,1990.0,0.7668,0.1246,82938,0.2885,39.7,2015,6,27,530330321031,530330321031056.0
50,50,48651527,388000.0,7/25/2015,530000000000.0,SFD,9,2.0,1.0,970.0,0.0,10500,1,1952.0,0,47534922,-122033612,228100.0,625.0,1990.0,0.7668,0.1246,82938,0.2885,39.7,2015,7,25,530330321031,530330321031044.0
51,51,48651585,385000.0,8/29/2015,530000000000.0,RS7200,9,3.0,2.0,2260.0,460.0,19600,2,1942.0,0,47487553,-122337214,236400.0,807.0,1950.0,0.8329,0.0188,61067,0.137,52.5,2015,8,29,530330275002,530330275002007.0
52,52,48651670,359000.0,9/16/2015,530000000000.0,R8,9,3.0,1.0,2250.0,0.0,19252,1,1949.0,0,47454441,-122198655,194600.0,1069.0,1961.0,0.727,0.0,67500,0.4724,38.1,2015,9,16,530330258052,530330258052004.0
53,53,48651828,445990.0,6/11/2015,530000000000.0,R8,9,4.0,3.5,3008.0,580.0,7496,2,2015.0,0,47457765,-122189272,228100.0,929.0,1975.0,0.6181,0.0568,60924,0.3059,37.3,2015,6,11,530330258053,530330258053017.0
54,54,48651980,666000.0,5/16/2015,530000000000.0,SF 5000,9,3.0,2.0,1650.0,0.0,4000,1,1919.0,79,47685696,-122354084,460400.0,836.0,1939.0,0.7133,0.139,126016,0.4265,36.9,2015,5,16,530330028001,530330028001004.0
55,55,48651984,750000.0,5/9/2015,530000000000.0,SF 5000,9,4.0,1.5,2060.0,0.0,4000,2,1990.0,79,47685697,-122353435,460400.0,836.0,1939.0,0.7133,0.139,126016,0.4265,36.9,2015,5,9,530330028001,530330028001004.0
56,56,48652018,995000.0,6/20/2015,530000000000.0,SF 5000,9,5.0,2.5,3080.0,200.0,4000,2,1925.0,0,47614246,-122290953,650700.0,1038.0,1939.0,0.6162,0.0,80515,0.4606,35.8,2015,6,20,530330078003,530330078003011.0
57,57,48652090,270000.0,7/2/2015,530000000000.0,R4,9,4.0,2.25,1990.0,400.0,8463,2,1996.0,0,47283614,-122301425,250400.0,1161.0,1985.0,0.638,0.0729,82933,0.4065,32.6,2015,7,2,530330304015,530330304015017.0
58,58,48652257,258400.0,9/5/2015,530000000000.0,RS7.2,9,4.0,2.0,1750.0,420.0,7840,2,1977.0,0,47302716,-122371378,188400.0,755.0,1975.0,0.3949,0.0394,47591,0.6171,24.5,2015,9,5,530330303112,530330303112014.0
59,59,48652270,360000.0,5/2/2015,530000000000.0,SR6,9,4.0,2.5,2600.0,730.0,8745,2,1991.0,0,47406149,-122192372,284800.0,,1988.0,0.9767,0.0577,109208,0.4023,38.4,2015,5,2,530330294032,530330294032004.0
60,60,48652439,273500.0,9/26/2015,530000000000.0,RS7.2,9,3.0,2.0,1550.0,460.0,7210,1,1983.0,0,47313987,-122354468,264700.0,780.0,1985.0,0.6082,0.0988,72857,0.5292,31.2,2015,9,26,530330303082,530330303082002.0
61,61,48652449,260000.0,8/1/2015,530000000000.0,RS7.2,9,3.0,2.0,1620.0,480.0,7208,1,1981.0,0,47314309,-122355763,264700.0,780.0,1985.0,0.6082,0.0988,72857,0.5292,31.2,2015,8,1,530330303082,530330303082004.0
62,62,48652528,265000.0,6/9/2015,530000000000.0,RS7.2,9,3.0,3.0,1470.0,230.0,8649,1,1983.0,0,47314576,-122351585,264700.0,780.0,1985.0,0.6082,0.0988,72857,0.5292,31.2,2015,6,9,530330303082,530330303082001.0
63,63,48652594,227950.0,9/22/2015,530000000000.0,RS5.0,9,3.0,2.0,1140.0,530.0,6974,1,1986.0,0,47309595,-122356382,252700.0,,1993.0,0.9741,0.0,94917,0.3657,42.3,2015,9,22,530330303081,530330303081002.0
64,64,48652606,227000.0,7/11/2015,530000000000.0,RS5.0,9,3.0,2.5,1610.0,460.0,5730,2,1986.0,0,47308949,-122356463,252700.0,,1993.0,0.9741,0.0,94917,0.3657,42.3,2015,7,11,530330303081,530330303081002.0
65,65,48652637,320000.0,8/29/2015,530000000000.0,RS5.0,9,3.0,3.0,1689.0,440.0,6455,2,1987.0,0,47310515,-122356959,264700.0,780.0,1985.0,0.6082,0.0988,72857,0.5292,31.2,2015,8,29,530330303082,530330303082003.0
66,66,48652639,281375.0,8/15/2015,530000000000.0,RS5.0,9,3.0,3.0,1910.0,550.0,8783,2,1987.0,0,47310827,-122357161,264700.0,780.0,1985.0,0.6082,0.0988,72857,0.5292,31.2,2015,8,15,530330303082,530330303082003.0
67,67,48652657,309000.0,9/25/2015,530000000000.0,RS5.0,9,3.0,2.25,1850.0,440.0,6500,2,1986.0,0,47311959,-122356752,264700.0,780.0,1985.0,0.6082,0.0988,72857,0.5292,31.2,2015,9,25,530330303082,530330303082003.0
68,68,48652692,260000.0,7/10/2015,530000000000.0,RS5.0,9,3.0,1.75,1440.0,460.0,10605,2,1986.0,0,47310621,-122358211,264700.0,780.0,1985.0,0.6082,0.0988,72857,0.5292,31.2,2015,7,10,530330303082,530330303082003.0
69,69,48652772,270000.0,4/10/2015,530000000000.0,RS5.0,9,4.0,3.0,1750.0,420.0,6397,2,1988.0,0,47308220,-122358158,252700.0,,1993.0,0.9741,0.0,94917,0.3657,42.3,2015,4,10,530330303081,530330303081006.0
70,70,48652930,289950.0,9/3/2015,530000000000.0,RS5.0,9,4.0,3.0,1890.0,490.0,6866,2,1992.0,0,47304860,-122357677,252700.0,,1993.0,0.9741,0.0,94917,0.3657,42.3,2015,9,3,530330303081,530330303081008.0
71,71,48652978,520000.0,6/17/2015,530000000000.0,SF 7200,9,3.0,2.0,1200.0,340.0,8168,1,1948.0,0,47702677,-122367798,313000.0,1028.0,1981.0,0.316,0.0,60231,0.3893,33.2,2015,6,17,530330014003,530330014003005.0
72,72,48652999,505000.0,8/15/2015,530000000000.0,SF 7200,9,3.0,2.0,1230.0,220.0,8095,1,1949.0,78,47704006,-122368351,313000.0,1028.0,1981.0,0.316,0.0,60231,0.3893,33.2,2015,8,15,530330014003,530330014003005.0
73,73,48653102,299000.0,5/9/2015,530000000000.0,RS7.2,9,4.0,2.5,2300.0,140.0,8100,1,1979.0,0,47297926,-122370583,242400.0,,1983.0,0.8836,0.096,114423,0.3767,45.5,2015,5,9,530330303124,530330303124003.0
74,74,48653140,302150.0,8/14/2015,530000000000.0,RS7.2,9,3.0,2.0,1940.0,320.0,5950,1,1979.0,0,47297119,-122369581,250400.0,755.0,1983.0,0.4165,0.0521,50399,0.2854,43.8,2015,8,14,530330303122,530330303122004.0
75,75,48653193,298950.0,7/9/2015,530000000000.0,RS7.2,9,4.0,1.75,2240.0,620.0,8400,1,1981.0,0,47295799,-122370630,242400.0,,1983.0,0.8836,0.096,114423,0.3767,45.5,2015,7,9,530330303124,530330303124008.0
76,76,48653310,211000.0,9/22/2015,530000000000.0,RS7200,9,2.0,1.0,780.0,0.0,9750,1,1937.0,0,47481575,-122321906,207700.0,835.0,1955.0,0.6692,0.1177,42188,0.4229,32.9,2015,9,22,530330274001,530330274001019.0
77,77,48653416,417500.0,6/2/2015,530000000000.0,R6,9,3.0,2.25,1940.0,530.0,10310,2,1987.0,0,47769138,-122240625,350000.0,,1970.0,1.0,0.1146,100694,0.3294,41.0,2015,6,2,530330217003,530330217003002.0
78,78,48653445,402500.0,5/13/2015,530000000000.0,R1,9,3.0,2.25,2160.0,400.0,9540,2,1979.0,0,47766812,-122243025,438600.0,1012.0,1987.0,0.2313,0.0188,65865,0.6635,29.4,2015,5,13,530330217001,530330217001002.0
79,79,48653446,375000.0,7/14/2015,530000000000.0,R1,9,3.0,1.0,1410.0,0.0,9584,1,1951.0,0,47766862,-122243368,438600.0,1012.0,1987.0,0.2313,0.0188,65865,0.6635,29.4,2015,7,14,530330217001,530330217001002.0
80,80,48653475,285000.0,4/11/2015,530000000000.0,R6,9,3.0,2.0,1480.0,310.0,7117,1,1960.0,0,47776642,-122247815,350000.0,,1970.0,1.0,0.1146,100694,0.3294,41.0,2015,4,11,530330217003,530330217003004.0
81,81,48653554,287000.0,7/11/2015,530000000000.0,R1,9,1.0,1.0,840.0,0.0,63597,1,1932.0,0,47767369,-122241112,203900.0,934.0,1988.0,0.4833,0.0793,26618,0.2444,41.8,2015,7,11,530330217004,530330217004001.0
82,82,48653605,235000.0,5/16/2015,530000000000.0,R1,9,2.0,1.0,1000.0,0.0,9653,1,1942.0,0,47765572,-122242006,203900.0,934.0,1988.0,0.4833,0.0793,26618,0.2444,41.8,2015,5,16,530330217004,530330217004004.0
83,83,48653696,630000.0,4/28/2015,530000000000.0,R4,9,5.0,4.0,4060.0,220.0,8309,2,2001.0,0,47757021,-122228434,294000.0,914.0,1989.0,0.5764,0.0427,52434,0.2887,33.5,2015,4,28,530330217005,530330217005009.0
84,84,48653773,680000.0,4/9/2015,530000000000.0,SF 5000,9,3.0,1.75,1660.0,0.0,5750,1,1909.0,0,47584259,-122384682,559100.0,954.0,1943.0,0.7482,0.0,88235,0.1738,44.3,2015,4,9,530330096001,530330096001008.0
85,85,48653981,339000.0,8/1/2015,530000000000.0,RA10,9,1.0,1.0,1000.0,0.0,156427,1,1960.0,82,47337660,-122496140,357600.0,,1972.0,0.9705,0.1082,90337,0.1438,51.8,2015,8,1,530330277023,530330277023022.0
86,86,48654159,533630.0,9/4/2015,530000000000.0,RA5SO,9,3.0,2.5,2720.0,0.0,21198,2,1997.0,0,47337839,-122107808,327700.0,848.0,1978.0,0.833,0.0212,55938,0.3202,45.3,2015,9,4,530330316013,530330316013000.0
87,87,48654166,425000.0,6/5/2015,530000000000.0,RA5SO,9,3.0,2.25,2150.0,540.0,121532,2,1988.0,0,47335971,-122110828,327700.0,848.0,1978.0,0.833,0.0212,55938,0.3202,45.3,2015,6,5,530330316013,530330316013005.0
88,88,48654178,676000.0,8/29/2015,530000000000.0,RA5,9,3.0,3.75,2940.0,0.0,233917,1,1984.0,0,47331180,-122114241,327700.0,848.0,1978.0,0.833,0.0212,55938,0.3202,45.3,2015,8,29,530330316013,530330316013005.0
89,89,48654239,490000.0,5/13/2015,530000000000.0,RA10SO,9,3.0,1.75,2020.0,0.0,215622,2,1975.0,0,47418716,-122499271,384900.0,595.0,1983.0,0.8662,0.1566,41765,0.2776,50.4,2015,5,13,530330277015,530330277015021.0
90,90,48654373,659000.0,8/29/2015,530000000000.0,SF 5000,9,3.0,3.0,1640.0,260.0,2895,2,1987.0,0,47673309,-122370000,395800.0,1498.0,1945.0,0.4347,0.0199,70263,0.1802,40.5,2015,8,29,530330033002,530330033002010.0
91,91,48654403,180000.0,6/5/2015,530000000000.0,R6,9,2.0,1.0,780.0,0.0,13974,1,1918.0,0,47514195,-122358766,258300.0,1095.0,1953.0,0.3978,0.0312,53024,0.3763,36.9,2015,6,5,530330266001,530330266001003.0
92,92,48654440,390100.0,6/9/2015,530000000000.0,R6,9,5.0,2.5,2400.0,400.0,7095,2,1967.0,0,47517077,-122363672,292700.0,967.0,1965.0,0.8125,0.2117,61716,0.5764,33.9,2015,6,9,530330266002,530330266002002.0
93,93,48654447,373000.0,6/16/2015,530000000000.0,R6,9,2.0,1.0,860.0,0.0,16320,1,1942.0,0,47516076,-122365504,292700.0,967.0,1965.0,0.8125,0.2117,61716,0.5764,33.9,2015,6,16,530330266002,530330266002003.0
94,94,48654551,305000.0,7/30/2015,530000000000.0,R6,9,3.0,1.0,1300.0,0.0,7879,1,1944.0,0,47514073,-122360126,258300.0,1095.0,1953.0,0.3978,0.0312,53024,0.3763,36.9,2015,7,30,530330266001,530330266001004.0
95,95,48654578,369950.0,9/1/2015,530000000000.0,R6,9,3.0,1.0,1120.0,0.0,6750,1,1990.0,0,47504909,-122366176,381200.0,,1956.0,0.9659,0.0383,101053,0.2528,48.6,2015,9,1,530330267004,530330267004006.0
96,96,48654585,335000.0,5/13/2015,530000000000.0,R6,9,3.0,1.75,1260.0,460.0,17000,1,1994.0,79,47511345,-122361064,292700.0,967.0,1965.0,0.8125,0.2117,61716,0.5764,33.9,2015,5,13,530330266002,530330266002011.0
97,97,48654631,330000.0,7/23/2015,530000000000.0,R8,9,4.0,2.0,1610.0,490.0,18657,1,1979.0,0,47513007,-122367758,292700.0,967.0,1965.0,0.8125,0.2117,61716,0.5764,33.9,2015,7,23,530330266002,530330266002007.0
98,98,48654674,310000.0,5/19/2015,530000000000.0,R6,9,3.0,1.0,1570.0,300.0,11250,1,1956.0,0,47515871,-122369023,292700.0,967.0,1965.0,0.8125,0.2117,61716,0.5764,33.9,2015,5,19,530330266002,530330266002006.0
99,99,48654678,320000.0,9/16/2015,530000000000.0,R6,9,5.0,2.0,1570.0,0.0,10000,1,1953.0,0,47511611,-122363490,292700.0,967.0,1965.0,0.8125,0.2117,61716,0.5764,33.9,2015,9,16,530330266002,530330266002013.0
100,100,48654780,479000.0,7/30/2015,530000000000.0,SF 7200,9,4.0,2.0,2380.0,0.0,7448,1,1964.0,79,47507921,-122375287,391000.0,1159.0,1957.0,0.8882,0.068,91875,0.396,43.2,2015,7,30,530330121002,530330121002003.0
101,101,48654783,422500.0,8/1/2015,530000000000.0,R6,9,4.0,2.5,2280.0,480.0,4320,1,2015.0,0,47513991,-122358847,258300.0,1095.0,1953.0,0.3978,0.0312,53024,0.3763,36.9,2015,8,1,530330266001,530330266001003.0
102,102,48654808,540000.0,5/9/2015,530000000000.0,SF 7200,9,3.0,2.5,1970.0,580.0,14876,1,1981.0,0,47503055,-122371594,391000.0,1159.0,1957.0,0.8882,0.068,91875,0.396,43.2,2015,5,9,530330121002,530330121002010.0
103,103,48654831,530000.0,5/1/2015,530000000000.0,RA5,9,3.0,3.0,2190.0,110.0,220414,1,1976.0,78,47504512,-122102756,530900.0,,1991.0,0.9349,0.1731,126000,0.5558,48.1,2015,5,1,530330250063,530330250063026.0
104,104,48654834,471000.0,4/4/2015,530000000000.0,RA5,9,4.0,3.0,3410.0,0.0,57063,2,1978.0,78,47505379,-122109595,530900.0,,1991.0,0.9349,0.1731,126000,0.5558,48.1,2015,4,4,530330250063,530330250063029.0
105,105,48654872,500000.0,9/1/2015,530000000000.0,RA5,9,4.0,2.75,2500.0,620.0,43560,1,1977.0,78,47506848,-122101679,530900.0,,1991.0,0.9349,0.1731,126000,0.5558,48.1,2015,9,1,530330250063,530330250063026.0
106,106,48654901,535000.0,9/1/2015,530000000000.0,RA5,9,3.0,3.0,2660.0,860.0,42670,2,1991.0,0,47512853,-122109797,530900.0,,1991.0,0.9349,0.1731,126000,0.5558,48.1,2015,9,1,530330250063,530330250063026.0
