,100 Block Address,Offense ID,Longitude,Latitude,BlockGroup
133,11XX BLOCK OF SW HOLDEN ST,17,-122.34990639358824,47.53404804,530330108001029.0
134,2XX BLOCK OF MARTIN LUTHER KING JR WAY E,33,-122.29609506,47.62075981,530330077001014.0
135,21XX BLOCK OF E MADISON ST,28,-122.30390158085714,47.61825057,530330079001000.0
136,DEXTER AVE N / JOHN ST,3,-122.342391708,47.61971961,530330072001070.0
137,15TH AVE S / E YESLER WAY,3,-122.312877369,47.60168636,530330087003014.0
138,94XX BLOCK OF DELRIDGE WAY SW,182,-122.35591993742857,47.51820242362637,530330114022010.0
139,1XX BLOCK OF 23RD AVE E,61,-122.3025243859836,47.61966815262295,530330076002012.0
140,36XX BLOCK OF RAINIER AVE S,10,-122.2925313138,47.571041422,530330101004001.0
141,7XX BLOCK N 95TH ST,3,-122.348650455,47.69782007,530330013003017.0
142,13XX BLOCK OF NW 95TH ST,3,-122.37340100433332,47.69789618666666,530330014004015.0
143,17TH AVE S / BEACON AVE S,3,-122.310820589,47.57778441,530330100022014.0
144,62XX BLOCK OF ROOSEVELT WAY NE,42,-122.31736335778572,47.6737458,530330044002011.0
145,NW 56TH ST / 2ND AVE NW,5,-122.35902946,47.66962863,530330034003010.0
146,101XX BLOCK OF 3RD AVE NW,26,-122.36074707496152,47.70294266846154,530330014003011.0
147,5XX BLOCK OF HARRISON ST,55,-122.3469125293818,47.622072382727275,530330072001022.0
148,46TH AVE S / S KENYON ST,7,-122.27530963,47.53155653,530330111013007.0
149,CALIFORNIA AVE SW / SW BRADFORD ST,1,-122.386768274,47.56928052,530330098005014.0
150,16XX BLOCK OF W ARMORY WAY,43,-122.377436512,47.63833046,530330058022003.0
151,35TH AVE NE / NE 120TH ST,6,-122.291503107,47.71550622,530330008001006.0
152,14XX BLOCK OF S DEAN ST,46,-122.31306294567392,47.59530014,530330094002009.0
153,2XX BLOCK OF MELROSE AVE E,2,-122.327857535,47.62020394,530330074021005.0
154,S ORCHARD ST / 48TH AVE S,2,-122.272637355,47.53830032,530330111011006.0
155,NW 75TH ST / 8TH AVE NW,4,-122.366010341,47.68326297,530330030001027.0
156,51XX BLOCK OF LEARY AVE NW,80,-122.38043631815,47.66523531075,530330047004030.0
157,43XX BLOCK OF S WARSAW ST,20,-122.27894164385,47.54333578,530330111014011.0
158,15XX BLOCK OF N 45TH ST,47,-122.33886003651064,47.66138608425532,530330050001041.0
159,69XX BLOCK OF SYLVAN WAY SW,7,-122.36939017185713,47.54059276,530330107011005.0
160,12TH AVE NE / NE 62ND ST,4,-122.315657743,47.67333425,530330044002006.0
161,33XX BLOCK OF AURORA AVE N,1,-122.347315096,47.65205986,530330049002016.0
162,I5 NB COLLECTOR / JAMES ST OFF RP,2,-122.326314881,47.60352527,530330085003002.0
163,ELLIOTT BAY SHORE / S ROYAL BROUGHAM WAY,1,-122.342457588,47.59232698,530330093002038.0
164,BENTON PL SW / BEACH DR SW,1,-122.418139471,47.57459786,530330097013012.0
165,20XX BLOCK OF NE 103RD ST,30,-122.30562847996666,47.70301028,530330011002011.0
166,34XX BLOCK OF 25TH AVE S,8,-122.30056950625,47.57261158875,530330100011023.0
167,21XX BLOCK OF NW 70TH ST,3,-122.38376082,47.67951403,530330031003012.0
168,DENNY WAY / TERRY AVE,11,-122.337150728,47.61852689,530330073003019.0
169,NE 117TH ST / 15TH AVE NE,3,-122.312494621,47.71397851,530330007004007.0
170,11XX BLOCK OF HUBBELL PL,7,-122.330467034,47.60859739,530330082002002.0
171,PRINCETON AVE NE / PULLMAN AVE NE,1,-122.275763204,47.66923543,530330042001020.0
172,36XX BLOCK OF 44TH AVE SW,29,-122.388103107,47.57111903,530330098005011.0
173,S MCCLELLAN ST / 17TH AVE S,6,-122.310702433,47.57866983,530330100022006.0
174,HARVARD AVE / BROADWAY,38,-122.320760065,47.61125935,530330075004022.0
175,74XX BLOCK OF SAND POINT WAY NE,315,-122.26368312290792,47.68252502590476,530330040001027.0
176,8XX BLOCK OF AURORA AVE N,5,-122.343575482,47.62670593,530330067002018.0
177,35XX BLOCK OF W HOWE ST,23,-122.40202205565215,47.63569365695652,530330056003037.0
178,NE 71ST ST / 45TH AVE NE,1,-122.279661804,47.68004333,530330039002002.0
179,97XX BLOCK OF 51ST AVE S,16,-122.270042694,47.51363907,530330117004009.0
180,73XX BLOCK OF ALONZO AVE NW,19,-122.37466685763157,47.682335462105264,530330030003013.0
181,SW EDMUNDS ST / 42ND AVE SW,10,-122.385508942,47.55931923,530330105004005.0
182,75XX BLOCK OF 41ST AVE NE,11,-122.284174463,47.68394639,530330024002004.0
183,32ND AVE NE / NE 120TH ST,1,-122.29405597,47.71555288,530330007001007.0
184,NE 63RD ST / 4TH AVE NE,4,-122.324425595,47.67436216,530330036003000.0
185,21XX BLOCK OF E JOHN ST,15,-122.3041795554,47.620215902,530330076002010.0
186,30XX BLOCK OF S ORCAS ST,2,-122.292851225,47.55084932,530330104012017.0
187,24TH AVE NW / NW MARKET ST,56,-122.387576483,47.66867869,530330047004009.0
188,23XX BLOCK OF E SPRUCE ST,12,-122.30176284133331,47.60350713,530330088003008.0
189,E OLIVE LN / LAKE WASHINGTON BLVD,1,-122.281827595,47.61644757,530330078001017.0
190,72XX BLOCK OF 28TH AVE NW,7,-122.393003923,47.68113544,530330031004010.0
191,15XX BLOCK OF NE 80TH ST,1,-122.311616785,47.68667634,530330026001018.0
192,137XX BLOCK OF STONE AVE N,24,-122.34234292508332,47.72958232,530330003002018.0
193,31ST AVE W / W MCGRAW ST,1,-122.396987629,47.63955912,530330057003012.0
194,12TH AVE NE / NE CAMPUS PKWY,1,-122.315572187,47.65601221,530330053021007.0
195,63XX BLOCK OF BROOKLYN AVE NE,32,-122.3143404606875,47.67456834,530330044002001.0
196,6XX BLOCK OF S OTHELLO ST,13,-122.3242108,47.53722659,530330109001018.0
197,LAKE CITY WAY NE / NE 110TH ST,1,-122.301354776,47.70842569,530330010001007.0
198,NE 47TH ST / 11TH AVE NE,34,-122.31635854817648,47.66311178,530330053012004.0
199,MARION ST / BOREN AVE,25,-122.324486999,47.60862449,530330083001006.0
200,34TH AVE S / S SPOKANE ST,10,-122.289921964,47.57158202,530330101005015.0
201,OCCIDENTAL AVE S / S ROYAL BROUGHAM WAY,1,-122.333262388,47.59239522,530330093002030.0
202,W SEATTLE BR / EB,3,-122.355379119,47.57095072,530330099004067.0
203,18XX BLOCK OF 1ST AVE,6,-122.341132733,47.61004447,530330081003000.0
204,122XX BLOCK OF 4TH AVE NW,20,-122.362298882,47.71873423,530330005002012.0
205,12XX BLOCK OF SW HOLDEN ST,94,-122.35111497004256,47.53413004978723,530330108001030.0
206,14XX BLOCK OF S COLUMBIAN WAY,174,-122.31427786462643,47.571047782758626,530330100012004.0
207,57XX BLOCK OF WALLINGFORD AVE N,2,-122.33709045,47.67098858,530330046001017.0
208,7XX BLOCK OF NW 77TH ST,1,-122.364667902,47.68473255,530330029003005.0
209,25XX BLOCK OF AIRPORT WAY S,22,-122.321397393,47.58038881681818,530330093003080.0
210,1XX BLOCK OF 2ND AVE S,4,-122.33100551,47.600822045,530330092002028.0
211,57XX BLOCK OF 28TH AVE NW,6,-122.3928725325,47.67055649,530330032003001.0
212,S DONOVAN ST / 8TH AVE S,7,-122.32292969,47.52561521,530330112003006.0
213,61XX BLOCK OF 51ST AVE S,2,-122.269892741,47.547369,530330102002020.0
214,47XX BLOCK OF SW RAYMOND ST,6,-122.393151659,47.54857205,530330106005021.0
215,95XX BLOCK OF 28TH AVE NW,3,-122.393496836,47.69805799,530330015001007.0
216,10XX BLOCK OF 20TH AVE S,22,-122.306236897,47.59342108,530330090001016.0
217,49XX BLOCK OF 48TH AVE S,12,-122.273188341,47.55764482,530330102004006.0
218,3XX BLOCK OF NE 100TH ST,19,-122.32503939236842,47.70133871,530330019001008.0
219,AURORA AVE N / N 76TH ST,8,-122.344488235,47.68403806,530330027004024.0
220,37XX BLOCK OF E OLIVE ST,2,-122.285580201,47.61646277,530330078004030.0
221,39TH AVE SW / SW THISTLE ST,1,-122.382019459,47.52841149,530330115002004.0
222,9XX BLOCK OF DEXTER AVE N,317,-122.34232272900945,47.62757349,530330067001004.0
223,NE 145TH ST / 12TH AVE NE,3,-122.315441928,47.7339772,530330211003008.0
224,15XX BLOCK OF 26TH AVE S,24,-122.299097319,47.58889266,530330095002025.0
225,26XX BLOCK OF 35TH AVE W,23,-122.4023221433913,47.64409301,530330056004004.0
226,64XX BLOCK OF 17TH AVE NW,19,-122.37888104163156,47.6756374,530330033003003.0
227,47XX BLOCK OF NE 103RD ST,4,-122.277058028,47.70295064,530330009002018.0
228,S HAWTHORN RD / S UPLAND RD,1,-122.260337942,47.5490374,530330102002023.0
229,59XX BLOCK OF 17TH AVE NW,13,-122.37888175784616,47.67199787,530330047003002.0
230,HIGHLAND DR / WESTLAKE E RDWY AVE N,2,-122.340762316,47.62971481,530330067001001.0
231,NE 130TH ST / 20TH AVE NE,1,-122.307274279,47.72298316,530330002002003.0
232,1XX BLOCK OF W CREMONA ST,33,-122.35928043936364,47.64954342,530330060004004.0
233,18XX BLOCK OF N 90TH ST,24,-122.335806098,47.69413606,530330018001009.0
234,8XX BLOCK OF S WASHINGTON ST,45,-122.32126886353332,47.60085706,530330091001002.0
235,24XX BLOCK OF S GRAHAM ST,51,-122.30146979888237,47.54640271,530330104023017.0
236,HUBBELL PL / UNIVERSITY ST,5,-122.330748736,47.6095763,530330082003012.0
237,53XX BLOCK OF SW MANNING ST,13,-122.401455744,47.57182077,530330097024007.0
238,5TH AVE NW / NW BRIGHT ST,2,-122.3629399105,47.66001818,530330048003001.0
239,31XX BLOCK OF NW 54TH ST,1,-122.397233611,47.66765539,530330032004018.0
240,12XX BLOCK OF ALASKAN WAY S,13,-122.34009267,47.60554493,530330081001014.0
241,N 49TH ST / STONE AVE N,1,-122.342090976,47.66429118,530330050001004.0
242,35XX BLOCK OF SW 106TH ST,9,-122.37871509255557,47.5082137,530330120002018.0
243,AURORA AVE N / N 94TH ST,14,-122.344599414,47.6970841,530330013003019.0
244,16TH AVE S / S ORCAS ST,2,-122.3123182,47.55124292,530330104021003.0
245,13TH AVE S / STANLEY AVE S,1,-122.316104205,47.54797379,530330109002087.0
246,17XX BLOCK SUMMIT AVE,1,-122.325552288,47.61704061,530330074022004.0
247,88XX BLOCK OF 29TH AVE NW,6,-122.393973025,47.69308579,530330015002008.0
248,39XX BLOCK OF NE 127TH ST,7,-122.2859398,47.72093193,530330001001021.0
249,16XX BLOCK OF CALIFORNIA AVE SW,32,-122.38625350909376,47.58868329,530330096004009.0
250,38XX BLOCK OF S WILLOW ST,103,-122.28415963988348,47.54066928,530330110012004.0
251,40XX BLOCK OF 30TH AVE SW,4,-122.370770176,47.56724705,530330099004090.0
252,72XX BLOCK OF 31ST AVE SW,1,-122.372556451,47.53828908,530330115001000.0
253,93XX BLOCK OF 46TH AVE S,20,-122.274237036,47.51876575,530330117004010.0
254,6TH AVE NW / NW 50TH ST,2,-122.363995869,47.66502253,530330048004004.0
255,9XX BLOCK OF 7TH AVE S,4,-122.323767991,47.59457465,530330093001011.0
256,66XX BLOCK OF 46TH AVE S,3,-122.275377277,47.54291022,530330111011001.0
257,122XX BLOCK OF 3RD AVE NW,32,-122.36094606015624,47.7187262603125,530330004024008.0
258,S SNOQUALMIE ST / 46TH AVE S,1,-122.275733263,47.5617428,530330101002020.0
259,60XX BLOCK OF S RYAN ST,7,-122.25791066842856,47.50970038,530330119001022.0
260,44XX BLOCK OF S EDDY ST,21,-122.27676762461904,47.54512991,530330111014000.0
261,15XX BLOCK OF NE 140TH ST,12,-122.31135249783333,47.73028674,530330002004002.0
262,11XX BLOCK E THOMAS ST,1,-122.317392137,47.62110088,530330075003011.0
263,35XX BLOCK OF DENSMORE AVE N,14,-122.33752424935714,47.64985452,530330054002026.0
264,54XX BLOCK OF NE 55TH ST,3,-122.270037394,47.66849873,530330041002016.0
265,26TH AVE SW / SW GENESEE ST,1,-122.365459336,47.56472544,530330099002018.0
266,16XX BLOCK OF 5TH AVE,795,-122.336938539,47.61216878,530330082001003.0
267,62XX BLOCK OF 47TH AVE S,7,-122.27371244014284,47.54713333,530330102003011.0
268,6TH AVE NE / NE 71ST ST,1,-122.321757551,47.68021033,530330036002004.0
269,45TH AVE S / S WEBSTER ST,1,-122.276581057,47.53522229,530330111012017.0
270,6XX BLOCK OF NW 86TH ST,32,-122.3646613043125,47.69137173,530330017022014.0
271,54XX BLOCK OF 41ST AVE SW,29,-122.38425167513792,47.55296471,530330105002015.0
272,116XX BLOCK OF 2ND AVE NW,14,-122.359539347,47.7135134,530330004023010.0
273,36XX BLOCK OF 14TH AVE W,117,-122.374904276,47.65308276008547,530330059001024.0
274,N 47TH ST / FREMONT AVE N,14,-122.350028429,47.66287542,530330049001014.0
275,47TH AVE SW / SW ALASKA ST,2,-122.392179079,47.56115027,530330097023011.0
276,SYLVAN WAY SW / HIGH POINT DR SW,1,-122.370607457,47.54283237,530330107011005.0
277,26XX BLOCK OF W ARMOUR ST,4,-122.390883759,47.6446135,530330058021015.0
278,35TH AVE SW / SW 104TH ST,2,-122.375865717,47.50998299,530330120002004.0
279,1XX BLOCK OF N 59TH ST,41,-122.35653868314634,47.67185273,530330035003004.0
280,44TH AVE SW / SW CAMBRIDGE ST,1,-122.389603819,47.51824792,530330116004011.0
281,7XX BLOCK OF 24TH AVE,61,-122.30147024890164,47.60851119983607,530330088002006.0
282,96XX BLOCK OF 14TH AVE SW,1,-122.35287386,47.51643704,530330265002003.0
283,54XX BLOCK OF 40TH AVE SW,27,-122.38295195803704,47.55294752,530330105002016.0
284,46XX BLOCK OF SUNNYSIDE AVE N,140,-122.33014305889284,47.663848635142855,530330051001002.0
285,S NORMAN ST / YAKIMA PL S,2,-122.293354193,47.59329725,530330089002011.0
286,LAKE WASHINGTON BLVD S / S HORTON ST,8,-122.281070677,47.57418136,530330095003005.0
287,3XX BLOCK OF 5TH AVE,31,-122.32768453109676,47.60199368,530330085003007.0
288,10TH AVE / E MADISON ST,1,-122.3193478,47.61175788,530330075004024.0
289,42XX BLOCK OF 29TH AVE W,11,-122.39492561690908,47.65804989,530330058014039.0
290,88XX BLOCK OF 4TH AVE S,20,-122.3297219221,47.5238198495,530330112001019.0
291,78XX BLOCK OF CALIFORNIA AVE SW,4,-122.387348341,47.53260232,530330116002010.0
292,75XX BLOCK OF 29TH AVE NW,30,-122.3943726222,47.68400533,530330031002013.0
293,53XX BLOCK OF 51ST AVE S,7,-122.269832345,47.55372857,530330102004020.0
294,38XX BLOCK OF 48TH AVE NE,20,-122.275653219,47.6559832,530330041006000.0
295,37TH AVE S / S BRANDON ST,1,-122.286117322,47.55344782,530330103005020.0
296,44XX BLOCK OF 33RD AVE S,31,-122.29144522590322,47.56359838,530330101004021.0
297,BROADWAY / E PINE ST,320,-122.320798654,47.61523531,530330075005010.0
298,7XX BLOCK OF W BLAINE ST,7,-122.36700254714285,47.63475636857143,530330069002004.0
299,21XX BLOCK OF TERRY AVE,85,-122.33673386224704,47.61814669,530330073003020.0
300,N 97TH ST / PHINNEY AVE N,1,-122.354051828,47.69964608,530330017013017.0
301,17XX BLOCK OF 36TH AVE,5,-122.287003458,47.61681344,530330078004028.0
302,35XX BLOCK OF 5TH AVE S,8,-122.32751240975,47.57521773875,530330093003075.0
303,29XX BLOCK OF SW BRANDON ST,1,-122.370259932,47.55375557,530330107021000.0
304,5XX BLOCK NE NORTHGATE WAY,3,-122.321918379,47.70858578,530330012003002.0
305,10XX BLOCK OF E HAMLIN ST,1,-122.318960919,47.64561714,530330061001026.0
306,90XX BLOCK OF 30TH AVE SW,39,-122.37130982210256,47.52195107,530330114021034.0
307,S HOMER ST / AIRPORT WAY S,5,-122.318413283,47.55076114,530330104021013.0
